u_brthyr,age_5,sc1714,ws1_2012,ws1_2032,ws1_2034,ws1_2036,ws1_2038,ws1cal01,ws1cal02,ws1cal03,ws1cal04,ws1imp04,ws2cal01,ws2cal02,ws2cal03,ws2cal04,ws2imp04,ws1_2024,vetstat,ws1_2028,ws1impo5,ws2impo5,ws1_wks4,ws1_wks3,ws1_wks2,ws1_wks1,fnlwgt_5,u_brthmn,rsncode,ws1_2026,agric1,trans1,trade1,finins1,service1,public1,profes1,manage1,cleric1,labor1,other1,educ,nrace,nmar,health,srvperd,nvstat,kwage,mhrs4,w4,mhrs3,w3,mhrs2,w2,mhrs1,w1,agesq,edsq,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12
1950,32,1,1,3000,3000,3000,3000,,,,,,,,,,,45,2,,,,4,5,4,5,45061038,12,1,2,0,0,1,0,0,0,0,0,1,0,0,18,0,0,0,,0,16.666666,180,16.666666,225,13.333333,180,16.666666,225,13.333333,1024,324,0,0,0,0,0,0,0,0,0,0,0,1
1950,33,1,1,1000,1000,1200,1200,,,,,,,,,,,60,1,13,,,4,5,4,5,43137026,3,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,13,240,4.1666665,300,3.3333333,240,5,300,4,1089,144,0,0,1,0,0,0,0,0,0,0,0,0
1944,39,1,5,3000,3000,3000,3000,,,,,,,,,,,60,1,,,,4,5,4,5,123237888,6,1,2,0,0,0,0,0,1,0,1,0,0,0,16,0,0,0,1,1,12.5,240,12.5,300,10,240,12.5,300,10,1521,256,0,0,0,0,0,1,0,0,0,0,0,0
1954,29,1,1,1500,1574,1574,1500,,,,,,,,,,,40,1,9.25,,,4,5,4,5,46793535,3,999,1,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1,1,9.25,160,9.375,200,7.8699999,160,9.8374996,200,7.5,841,169,0,0,1,0,0,0,0,0,0,0,0,0
1954,29,1,5,1018,1018,1018,1018,,,,,,,,,,,40,1,,,,4,5,4,5,40074509,8,999,2,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,6.3625002,160,6.3625002,200,5.0900002,160,6.3625002,200,5.0900002,841,196,0,0,0,0,0,0,0,1,0,0,0,0
1944,39,1,1,1952,2440,1952,2440,,1,,1,,,,,,,40,1,,,,4,5,4,5,43196786,9,1,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,12.2,160,12.2,200,12.2,160,12.2,200,12.2,1521,144,0,0,0,0,0,0,0,0,1,0,0,0
1950,32,1,3,1540,1540,1450,1450,,,,,,,,,,,40,1,,,,4,5,4,5,43092191,11,1,2,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,1,1,9.625,160,9.625,200,7.6999998,160,9.0625,200,7.25,1024,256,0,0,0,0,0,0,0,0,0,0,1,0
1951,31,1,1,2206,2206,2206,2206,,,,,,,,,,,40,2,12.98,,,4,5,4,5,45548351,11,1,1,0,1,0,0,0,0,0,0,0,0,0,14,0,1,0,,0,12.98,160,13.7875,200,11.03,160,13.7875,200,11.03,961,196,0,0,0,0,0,0,0,0,0,0,1,0
1947,36,1,2,1800,1800,1800,1800,,,,,,,,,,,40,1,11.37,,,4,5,4,5,43723353,8,0,1,0,1,0,0,0,0,0,0,1,0,0,15,0,1,0,1,1,11.37,160,11.25,200,9,160,11.25,200,9,1296,225,0,0,0,0,0,0,0,1,0,0,0,0
1945,38,2,,,,,,,,,,,,,,,,,1,,,,,,,,41312985,8,0,,,,,,,,,,,,,13,0,0,0,1,1,,,,,,,,,,1444,169,0,0,0,0,0,0,0,1,0,0,0,0
1952,31,1,1,,400,1400,1400,,,,,,,,,,,40,1,,,,,4,4,5,55692470,7,0,2,0,1,0,0,0,0,1,0,0,0,0,12,1,0,1,1,1,2.5,,,160,2.5,160,8.75,200,7,961,144,0,0,0,0,0,0,1,0,0,0,0,0
1951,32,1,1,2000,2500,2000,2500,,1,,1,,,,,,,60,2,,,,4,5,4,5,50148283,3,0,2,0,0,0,1,0,0,0,0,1,0,0,15,1,0,0,,0,8.333333,240,8.333333,300,8.333333,240,8.333333,300,8.333333,1024,225,0,0,1,0,0,0,0,0,0,0,0,0
1944,39,1,1,2250,2250,2250,2250,,,,,,,,,,,40,2,,,,4,5,4,5,43552436,7,1,2,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,,0,14.0625,160,14.0625,200,11.25,160,14.0625,200,11.25,1521,256,0,0,0,0,0,0,1,0,0,0,0,0
1946,36,1,5,1600,2082,1600,1600,,1,,,,,,,,,40,1,10.41,,,4,5,4,5,53759198,11,1,1,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,1,1,10.41,160,10,200,10.41,160,10,200,8,1296,81,0,0,0,0,0,0,0,0,0,0,1,0
1948,34,1,4,3043,2162,2162,2040,,,,,,,,,,,40,2,13.51,,,4,5,4,5,43698516,11,1,1,0,1,0,0,0,0,0,0,1,0,0,16,0,0,0,,0,13.51,160,19.018749,200,10.81,160,13.5125,200,10.2,1156,256,0,0,0,0,0,0,0,0,0,0,1,0
1949,34,1,1,800,640,800,640,,,,,,,,,,,40,2,4,,,4,5,4,5,43612802,7,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,,0,4,160,5,200,3.2,160,5,200,3.2,1156,36,0,0,0,0,0,0,1,0,0,0,0,0
1944,39,1,1,1200,960,1200,960,,,,,,,,,,,40,2,5.5999999,,,4,5,4,5,43552436,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,5.5999999,160,7.5,200,4.8000002,160,7.5,200,4.8000002,1521,4,0,0,1,0,0,0,0,0,0,0,0,0
1950,33,1,1,3404,3404,3404,3404,,,,,,,,,,,55,2,,,,4,5,4,5,64671944,9,1,2,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,,0,15.472727,220,15.472727,275,12.378181,220,15.472727,275,12.378181,1089,196,0,0,0,0,0,0,0,0,1,0,0,0
1949,34,1,1,1900,1900,1900,1900,,,,,,,,,,,40,2,,,,4,5,4,5,45293877,9,0,2,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,,0,11.875,160,11.875,200,9.5,160,11.875,200,9.5,1156,324,0,0,0,0,0,0,0,0,1,0,0,0
1954,29,1,1,3550,2840,3550,2840,,,,,,,,,,,40,2,,,,4,5,4,5,51313392,9,999,2,0,0,0,0,0,0,0,1,0,0,0,18,0,1,0,,0,22.1875,160,22.1875,200,14.2,160,22.1875,200,14.2,841,324,0,0,0,0,0,0,0,0,1,0,0,0
1950,33,1,1,4000,3200,3200,4000,,,,,,,,,,,40,2,,,,4,5,4,5,48492943,3,0,2,0,0,0,0,0,0,1,0,0,0,0,16,0,1,0,,0,25,160,25,200,16,160,20,200,20,1089,256,0,0,1,0,0,0,0,0,0,0,0,0
1951,31,1,1,925,1275,1425,1250,,,,,,,,,,,55,2,,,,4,5,4,5,45034649,11,0,2,0,0,1,0,0,0,0,0,1,0,0,13,0,0,0,,0,4.2045455,220,4.2045455,275,4.6363635,220,6.4772725,275,4.5454545,961,169,0,0,0,0,0,0,0,0,0,0,1,0
1954,29,1,1,1400,1750,1400,1750,,1,,1,,,,,,,70,2,,,,4,5,4,5,53615638,1,999,2,0,0,1,0,0,0,0,0,1,0,0,13,0,1,0,,0,5,280,5,350,5,280,5,350,5,841,169,1,0,0,0,0,0,0,0,0,0,0,0
1946,37,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,16,0,1,0,,0,,,,,,,,,,1369,256,1,0,0,0,0,0,0,0,0,0,0,0
1953,30,1,1,2000,2000,2000,2000,,,,,,,,,,,40,2,6.25,1,,4,5,4,5,65618473,3,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,,0,6.25,160,12.5,200,10,160,12.5,200,10,900,144,0,0,1,0,0,0,0,0,0,0,0,0
1943,39,2,,,,,,,,,,,,,,,,,2,,,,,,,,59062194,10,999,,,,,,,,,,,,,18,0,0,0,,0,,,,,,,,,,1521,324,0,0,0,0,0,0,0,0,0,1,0,0
1952,31,1,1,2250,2812,2250,2812,,1,,1,,,,,,,40,1,,,,4,5,4,5,62902240,3,1,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,14.0625,160,14.0625,200,14.06,160,14.0625,200,14.06,961,169,0,0,1,0,0,0,0,0,0,0,0,0
1951,31,1,1,1440,1800,1440,1800,,1,,1,,,,,,,40,2,9,,,4,5,4,5,60632689,12,0,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,,0,9,160,9,200,9,160,9,200,9,961,196,0,0,0,0,0,0,0,0,0,0,0,1
1953,29,1,1,1200,1100,1100,550,,,,,,,,,,,40,2,,,,4,5,4,2,70043523,11,0,2,0,0,1,0,0,0,0,0,0,0,1,12,0,1,0,,0,7.5,160,7.5,200,5.5,160,6.875,80,6.875,841,144,0,0,0,0,0,0,0,0,0,0,1,0
1951,32,1,1,,,1512,1848,,,,,,,,,,,84,2,14,,,,,1,5,61509033,4,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,0,14,,,,,84,18,420,4.4000001,1024,81,0,0,0,1,0,0,0,0,0,0,0,0
1951,32,,,,,,,,,,,,,,,,,,2,,,,,,,,58899608,3,0,,,,,,,,,,,,,8,1,0,0,,0,,,,,,,,,,1024,64,0,0,1,0,0,0,0,0,0,0,0,0
1950,32,,,,,,,,,,,,,,,,,,1,,,,,,,,45710304,11,1,,,,,,,,,,,,,12,0,0,1,1,1,,,,,,,,,,1024,144,0,0,0,0,0,0,0,0,0,0,1,0
1952,31,,,,,,,,,,,,,,,,,,2,,,,,,,,41630402,8,0,,,,,,,,,,,,,14,0,0,0,,0,,,,,,,,,,961,196,0,0,0,0,0,0,0,1,0,0,0,0
1946,37,1,1,,40,,,,,,,,,,,,,8,2,5,,,,1,,,52808538,5,1,1,1,0,0,0,0,0,0,0,0,0,0,12,0,1,1,,0,5,,,8,5,,,,,1369,144,0,0,0,0,1,0,0,0,0,0,0,0
1951,32,1,1,1133,767,1133,767,,,,,,,,,,,44,2,,,,4,5,4,5,49689790,9,1,2,0,0,1,0,0,0,0,0,1,0,0,18,0,1,0,,0,6.4375,176,6.4375,220,3.4863636,176,6.4375,220,3.4863636,1024,324,0,0,0,0,0,0,0,0,1,0,0,0
1945,37,1,1,4497,8333,3698,3546,,,,,,,,,,,40,2,,,,4,5,4,5,61618944,12,1,2,0,0,0,1,0,0,1,0,0,0,0,16,0,0,0,,0,28.106251,160,28.106251,200,41.665001,160,23.112499,200,17.73,1369,256,0,0,0,0,0,0,0,0,0,0,0,1
1951,32,3,1,4713,5500,5500,5500,1,,,,,,,,,,30,2,,,,4,5,4,5,42438587,5,0,2,0,0,0,0,0,1,0,0,0,0,1,15,0,0,0,,0,39.275002,120,39.275002,150,36.666668,120,45.833332,150,36.666668,1024,225,0,0,0,0,1,0,0,0,0,0,0,0
1951,31,1,1,1368,1710,1368,1710,,1,,1,,,,,,,38,1,9,,,4,5,4,5,46146142,12,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,1,9,152,9,190,9,152,9,190,9,961,196,0,0,0,0,0,0,0,0,0,0,0,1
1953,30,1,2,1280,1280,1280,1280,,,,,,,,,,,40,1,8,,,4,5,4,5,46133920,1,0,1,0,0,0,0,0,1,0,0,0,1,0,14,0,0,0,1,1,8,160,8,200,6.4000001,160,8,200,6.4000001,900,196,1,0,0,0,0,0,0,0,0,0,0,0
1951,32,1,1,1200,,,,,,,,,,,,,,50,2,14,,,4,,,,41630402,8,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,0,14,200,6,,,,,,,1024,144,0,0,0,0,0,0,0,1,0,0,0,0
1954,29,2,,,,,,,,,,,,,,,,,2,,,,,,,,40731944,7,999,,,,,,,,,,,,,12,0,0,0,,0,,,,,,,,,,841,144,0,0,0,0,0,0,1,0,0,0,0,0
1951,31,1,1,1850,1850,1850,1850,,,,,,,,,,,50,2,,,,4,5,4,5,42855347,10,1,2,0,1,0,0,0,0,0,0,1,0,0,12,0,0,0,,0,9.25,200,9.25,250,7.4000001,200,9.25,250,7.4000001,961,144,0,0,0,0,0,0,0,0,0,1,0,0
1952,31,1,1,3250,3250,3000,3000,,,,,,,,,,,44,2,,,,4,5,4,5,49585400,9,1,2,0,0,0,1,0,0,1,0,0,0,0,17,1,1,0,,0,18.46591,176,18.46591,220,14.772727,176,17.045454,220,13.636364,961,289,0,0,0,0,0,0,0,0,1,0,0,0
1952,30,1,1,,,1500,2000,,,,,,,,,,,45,2,,,,,,2,5,42438587,12,0,2,0,1,0,0,0,0,1,0,0,0,0,16,0,0,0,,0,16.666666,,,,,90,16.666666,225,8.8888893,900,256,0,0,0,0,0,0,0,0,0,0,0,1
1947,36,1,1,2400,2400,2400,2400,,,,,,,,,,,38,2,,,,4,5,4,5,43915693,6,0,2,0,0,0,1,0,0,0,0,1,0,0,16,0,0,0,,0,15.789474,152,15.789474,190,12.631579,152,15.789474,190,12.631579,1296,256,0,0,0,0,0,1,0,0,0,0,0,0
