byr,race,year,type,interval,nj,nj0,p_xl,p_l,earnings,iweight,iweight_old,nsrvd,ps_r,ern74,ern75,ern76,ern77,ern78,ern79,ern80,ern81,ern82,ern83,ern84
51,1,74,ADJ,53,269,33.89400100708008,.01716247,.0080091525,7953.4482,9.3507788e-06,7.1250415e-06,1427,.052656826,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,23,220,25.96000099182129,.015873017,0,8038.9531,9.4445040e-06,6.9129064e-06,4028,.18309091,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,37,244,43.92000198364258,.024390245,.02560976,8880.4375,7.3002102e-06,4.8399293e-06,1686,.068816327,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,1,226,25.98999977111816,.020338982,.01920904,7861.6328,7.4127879e-06,5.8886735e-06,5197,.22793859,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,60,230,29.89999961853027,.034482758,.020689657,8587.2188,7.2824901e-06,5.4369352e-06,1185,.0512987,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,22,242,27.10400009155273,.028153153,.032657661,8418.4902,7.4517729e-06,5.8719907e-06,4705,.19282787,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,26,230,43.01000213623047,.031980321,.015990162,8154.3345,7.3059018e-06,4.9599371e-06,2620,.11196581,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,59,246,34.93200302124023,.02797203,.015151516,8734.1592,8.6989539e-06,6.0543584e-06,1440,.058536585,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,29,230,25.06999969482422,.019079687,.02020202,7983.1099,8.1665003e-06,6.4184210e-06,2264,.098434784,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,33,220,34.97999954223633,.027348394,.004756243,7920.0894,7.7390541e-06,5.4985549e-06,2169,.09859091,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,68,228,35.11199951171875,.036643025,.0047281333,8287.3652,7.7880386e-06,5.5064888e-06,1439,.062565215,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,56,237,32.94300079345703,.034843203,.0092915213,8799.7773,7.3082606e-06,5.3142689e-06,1300,.054852322,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,42,229,27.9379997253418,.039863326,.014806375,8065.5947,6.7086658e-06,5.3412477e-06,1709,.074628823,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,19,230,32.8900032043457,.019836642,.0210035,7816.4727,8.5717411e-06,6.2411114e-06,4812,.20921738,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,57,239,44.93199920654297,.016009852,.024630541,8759.3447,6.7575429e-06,4.5168867e-06,1296,.054000001,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,44,198,24.94799995422363,.05148742,.024027454,8739.8115,5.6104377e-06,4.3167606e-06,1571,.078550003,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
51,1,74,ADJ,73,205,28.08499908447266,.033603705,.011587489,8528.2393,7.1659056e-06,5.1446609e-06,1578,.076975606,1,.76285625,.70235133,.56933463,.62318796,.49197978,.54557073,.46148255,.35958233,.19661927,.32368454
